strain,gap
-39.92757504,-0.250002702
-9.9203522,-0.019377853
9.906594405,0.046875752
18.87815017,0.086272178
25.2480088,0.094472806
37.97200289,0.044207723
50.44442588,-0.072718786
75.37305733,-0.375321466
100.0933565,-0.561253138
124.817095,-0.73260155
