diameter (millimeters),sigma_y
0.021356672,102.7401449
0.021216922,97.02443073
0.016029808,109.3397925
0.014637479,111.2212455
0.011066638,135.9043935
0.011065621,141.6186514
0.009327921,129.1838785
0.007867989,159.6016718
0.005964539,162.3524957
0.006007771,151.8792686
0.004189118,189.8126799
0.004189433,182.1936693
0.003184032,202.0494051
